Index,Question,Answer
0,"What specific goal is Starbucks aiming to achieve with its U.S. business turnaround strategy, as stated by CEO Brian Niccol in October 2024?",Delivering a customized drink to the customer in under four minutes.
0,"As of October 2024, what percentage of Starbucks' U.S. transactions are accounted for by mobile orders?",More than 30%.
0,What change did Starbucks announce regarding its menu as part of its turnaround strategy disclosed by CEO Brian Niccol in October 2024?,"The Starbucks menu will be slimmed down to focus on ""fewer, better"" offerings."
0,When did Starbucks announce it would drop the extra charge for dairy alternatives?,"Starting November 7, 2024."
0,"Who was appointed as Starbucks' chief global brand officer, as revealed in October 2024?",Tressie Lieberman.
1,"Who was appointed as Peloton's CEO and president, starting on January 1, 2025?",Peter Stern
1,"Before joining Peloton, what role did Peter Stern hold at Ford Motor Company?",President of Ford Integrated Services
1,"As of the announcement, how many CEOs had Peloton had throughout its history?",Three
1,By how much did Peloton's shares increase after the announcement of Peter Stern's appointment?,About 28%
2,What innovative financial platform was launched by Tarek Mansour and Luana Lopes Lara in 2018 to introduce legal election betting in the United States?,Kalshi.
2,"As of October 2024, how much money had users bet on Kalshi's presidential election platform since its launch?",More than $100 million.
2,Which legal body's restrictions did Kalshi overcome in 2024 after a lengthy legal battle to offer presidential election betting in the United States?,Commodity Futures Trading Commission (CFTC).
2,"When did Kalshi first apply for approval to take presidential election bets, as mentioned in the article?",In 2021.
3,What significant economic data release was scheduled by the Labor Department on the last Friday before Election Day in 2024?,The October jobs report.
4,What was the year-over-year increase in the core Personal Consumption Expenditures price index reported in September?,2.7%
4,Which company led the decline in chip stocks with a 17.4% drop after reporting its results?,Monolithic Power Systems
6,"In October 2024, what was the Bank of Japan's benchmark policy rate decided to be?",0.25%.
6,"As of October 2024, how did the Nikkei 225 index fare following the Bank of Japan's rate decision?","It closed 0.5% lower at 39,081.25."
6,"What was the manufacturing purchasing managers index in China in October 2024?","The PMI was 50.1."
6,By what percentage did Samsung Electronics' semiconductor unit's operating profit decrease in the third quarter of 2024 compared to the previous quarter?,It decreased by 40%.
6,"In October 2024, which index hit its lowest level since September 11, and by how much did it decrease that day?","South Korea's Kospi, which was 1.45% lower."
7,"In what year does the second season of Netflix's political thriller ""The Diplomat,"" featuring Keri Russell, take place?",2024
7,"Who is the guest star in the second season of ""The Diplomat,"" known for her role in ""The West Wing""?",Allison Janney
7,"Which character, portrayed by Keri Russell, takes on the role of U.S. Ambassador to the United Kingdom in ""The Diplomat""?",Kate Wyler
8,"In October 2024, how did Eric Trump express his family's view towards the British monarchy?",Eric Trump expressed that his family has tremendous respect for the British monarchy.
8,What photograph did Eric Trump mention in October 2024 when discussing King Charles III?,Eric Trump mentioned a photograph of himself as a 6-year-old with King Charles III and his father in the lobby of Mar-a-Lago.
9,"In the Netflix documentary ""Martha"" released in October 2024, what specific scenes did Martha Stewart request to be removed, which were ultimately included by filmmaker R.J. Cutler?",Scenes of her looking like a lonely old lady walking hunched over in the garden.
9,"What did Martha Stewart describe as the focus of the second half of her Netflix documentary, despite her disapproval, in October 2024?",Her 2004 Alderson Federal Prison Camp stint.
9,"In Martha Stewart's Netflix documentary ""Martha,"" released in October 2024, what type of music did she insist should be included, which was ignored by the filmmaker R.J. Cutler?",Rap music.
9,"How did Martha Stewart describe her brief time in prison, as mentioned in her Netflix documentary released in October 2024?",She considered it a vacation.
9,"Who directed the Netflix documentary ""Martha,"" which faced criticism from Martha Stewart for its content and presentation, as reported in October 2024?",R.J. Cutler.
10,"In 2024, which Los Angeles District Attorney publicly expressed strong support for the Menendez brothers’ clemency bid?",George Gascón
10,"As of 2024, how many years have the Menendez brothers spent in custody for the murder of their parents?",34 years
10,"On what date is the resentencing hearing for the Menendez brothers scheduled, as set in 2024?","December 11, 2024"
10,Who was the governor of California to whom Los Angeles District Attorney George Gascón sent letters on behalf of the Menendez brothers requesting clemency in 2024?,Gavin Newsom
11,"In October 2024, which reggaeton singer withdrew his endorsement of Donald Trump and criticized comments made at a Trump rally regarding Puerto Rico?",Nicky Jam
11,Which Puerto Rican descent celebrities endorsed Kamala Harris or her platform in October 2024?,"Jennifer Lopez, Ricky Martin, Marc Anthony, Don Omar, Luis Fonsi, and Bad Bunny"
11,When did Beyoncé make a public appearance supporting Kamala Harris during the 2024 election cycle?,"October 25, 2024"
12,"On October 31, 2024, into which zodiac sign does the moon move later in the day, after being in Libra?",The moon moves into Scorpio later in the day.
12,"On what date does actress Danielle Rose Russell, known for sharing her traits, celebrate her birthday?",Actress Danielle Rose Russell celebrates her birthday on October 31.
13,"During a concert in Melbourne, Australia, in October 2023, which Radiohead singer walked off stage after a confrontation with a heckler protesting about Gaza?",Thom Yorke
13,"In response to heckling about Gaza, what song did Radiohead's Thom Yorke return to perform after a temporary exit from the stage during his Australian tour in October 2023?",Karma Police
13,"Who did pro-Palestinian activists accuse of ""artwashing"" for performing with an Israeli-Arabic musician in Tel Aviv earlier in 2023?",Jonny Greenwood
13,What was the main demand of the heckler during the Radiohead concert in Melbourne on Thom Yorke's Australian tour in October 2023?,"The heckler called on Thom Yorke to ""condemn the Israeli genocide of Gaza""."
14,"How many previous marriages has Joe Exotic had before his engagement to Jorge Marquez, and when did his last marriage end?","Joe Exotic has had two previous marriages, and his last marriage ended in 2021."
14,"What did Joe Exotic claim a former husband took from him, and how much was it worth?",Joe Exotic claimed that a former husband took $2.6 million from Netflix and left him.
15,"In October 2024, which officials from the Biden administration met with Israeli leaders to negotiate a cease-fire in Lebanon?",Amos Hochstein and Brett McGurk
15,"In October 2024, what did Israeli Prime Minister Benjamin Netanyahu identify as a priority in discussions with U.S. officials?",To thwart any threat to its security from Lebanon.
15,"What condition did Hezbollah agree to, in October 2024, regarding the separation of fronts between Lebanon and Gaza?",A cease-fire in Lebanon only after a cease-fire was reached in the Gaza Strip.
15,"As of October 2024, who was the CIA director that met with Egyptian President Abdel Fatah El-Sisi in Cairo to discuss de-escalation in Gaza?",William J. Burns
15,"What was Hamas's stance on cease-fire proposals in October 2024, according to a member of its political bureau?",All cease-fire proposals were rejected as they didn’t include a final cease-fire or withdrawal from Gaza.
16,"On what date did the Los Angeles Dodgers win the World Series over the New York Yankees, leading to the disturbances in downtown Los Angeles?","October 30, 2024"
16,What specific location in Los Angeles was mentioned where shops were looted after the Dodgers' World Series win?,Broadway and 8th Street
16,How many people were arrested in total in connection with the disturbances following the Dodgers' World Series victory?,A dozen people
16,Who was identified as the witness describing the chaos in Los Angeles after the Dodgers' victory in the World Series?,Taylor Rosa
