Index,Topic,Content,Word_count,Key_words
1,tapestry capri ftc merger would said federal order injunction decision,"A federal judge blocked Tapestry's acquisition of Capri on Thursday following a brief trial last month in New York.

In her order, Judge Jennifer Rochon granted the Federal Trade Commission's motion for a preliminary injunction to block the proposed merger, which would marry America's two largest luxury houses and put six fashion brands under one company: Tapestry's Coach, Kate Spade and Stuart Weitzman with Capri's Versace, Jimmy Choo and Michael Kors.

Tapestry's stock surged 10% after the order was filed while Capri's plunged about 50%.

In a statement, Tapestry said it plans to appeal the order, ""consistent with our obligations under the merger agreement.""

""Today's decision granting the FTC's request for a preliminary injunction is disappointing and, we believe, incorrect on the law and the facts. Tapestry and Capri operate in an industry that is intensely competitive and dynamic, constantly expanding, and highly fragmented among both established players and new entrants,"" the company said. ""We face competitive pressures from both lower- and higher-priced products and continue to believe this transaction is pro-competitive and pro-consumer.""

Under the terms of the merger agreement, Tapestry agreed to reimburse Capri for expenses incurred in connection with the transaction if it fails to be approved, according to a securities filing. If either Tapestry or Capri walks away from the deal because it didn't receive regulatory approval or, a government issued a permanent, non-appealable injunction against it, Tapestry agreed to pay Capri between $30 million and $50 million, the filing said.

Capri, on the other hand, has agreed to pay a breakup fee of $240 million if it decides to terminate the proposed merger.

Rochon's reasoning behind the order wasn't immediately clear. A detailed opinion was filed under seal and isn't currently accessible to the public.

The former rivals and longtime competitors announced the $8.5 billion deal more than a year ago but the Federal Trade Commission sued to block it in April and sought a preliminary injunction to stop the agreement.

The FTC argued if the companies merged, it would harm consumers by making the affordable handbag market less accessible and would leave employees with worse salaries and benefits. Tapestry argued consumers would be better off if it merged with Capri because it would allow them to keep up with trends faster, offer better products and reach more customers.

""Today's decision is a victory not only for the FTC, but also for consumers across the country seeking access to quality handbags at affordable prices,"" Henry Liu, director of the FTC's Bureau of Competition, said in a statement. ""These bags are a product which millions of people rely on throughout their daily lives. The decision will ensure that Tapestry and Capri continue to engage in head-to-head competition to the benefit of the American public.""

The decision comes at a time when consumers are more price-sensitive than ever after years of elevated inflation. The Biden administration, and Democratic presidential candidate Vice President Kamala Harris, have pushed for the federal government to use its power to maintain competition and help keep prices low. Republican candidate Donald Trump has also criticized inflation and has pushed for tariffs to address the issue.

The FTC under Chair Lina Khan has moved to block mergers and acquisitions in the grocery, technology and apparel spaces.

During the trial last month, key witnesses called by the FTC cited research that showed the merger could raise prices for handbags, accessories and apparel, and may give the combined company little incentive to invest in product quality.

Lawyers for Tapestry and Capri argued the companies are not each other's main competitors. They said shoppers now have more options than ever in the handbag market, and trends can change in a blink in the era of TikTok.

— CNBC's Melissa Repko contributed to this report",627,"owner, order, parent, prices, tapestry, judge, tapestrys, proposed, michael, decision, consumers, injunction, ftc, capri, coach, blocks, merger, kors, federal"
2,tesla billion quarter earnings higher year said growth expected q3,"Tesla stock (TSLA) surged on Thursday after investors focused on the positive from mixed third quarter earnings results.

Investors cheered beats on adjusted earnings per share and higher gross margins in addition to the news that Tesla's cheaper electric vehicle is on track for production next year. CEO Elon Musk also said on an earnings call that Tesla's volume growth could be 20%-30% next year.

Tesla shares ended nearly 22% higher, adding tens of billions of dollars to the company's market valuation in its best day since 2013.

• USD (TSLA) View Quote Details

Tesla reported revenue of $25.18 billion, which was lower than the $25.4 billion expected per Bloomberg consensus but higher than the $25.05 billion it reported in Q2 and also topped the $23.4 billion Tesla reported a year ago. Tesla posted adjusted earnings per share of $0.72 vs. $0.60 expected, on adjusted net income of $2.5 billion and free cash flow of $2.9 billion.

The closely watched gross margin figure came in at 19.8%, much higher than the 16.8% expected.

""We delivered strong results in Q3 with growth in vehicle deliveries both sequentially and year-on-year, resulting in record third-quarter volumes,"" the company said in its earnings deck. ""Preparations remain underway for our offering of new vehicles — including more affordable models — which we will begin launching in the first half of 2025.""

Earlier this month, Tesla announced third quarter deliveries that slightly missed expectations, sending the stock lower.

Tesla said it delivered 462,890 vehicles in Q3, up 6.4% quarter over quarter, to mark the first quarter of delivery growth this year. The numbers also came in ahead of the 435,059 EVs the company delivered in the year-ago period. But Wall Street had expected Tesla to deliver closer to 463,897, according to Bloomberg.

""Refreshed Model 3 ramp continued successfully in Q3 with higher total production and lower cost of goods sold quarter-over-quarter. Cybertruck production increased sequentially and achieved a positive gross margin for the first time,"" Tesla said in its report.

Tesla said it expects vehicle deliveries to achieve ""slight growth"" in 2024. CEO Elon Musk added during the conference call that 20%-30% growth next year is possible, though he couched it as a ""best guess.""

Ahead of Tesla's Q3 disclosure, shares were down approximately 11% since Tesla revealed its robotaxi, dubbed the Cybercab, at its showy “We, Robot” event at the Warner Bros. studio lot in Burbank, Calif., on Oct. 10.

Investors and analysts were left wanting more details from Tesla’s “We, Robot” event on the Cybercab itself and detailed testing plans, along with questions about the development of Tesla’s sub-$30,000 EV, dubbed the Model 2.

Story Continues",442,"higher, cheer, day, soars, teslas, best, growth, stock, billion, vehicle, quarter, reported, investors, earnings, q3, tesla, report"
3,costco membership scanners front counts customers netflix card stores paying,"Costco’s introduction of membership card scanners at the front of US stores is still rolling out, but the move is already paying off big for the wholesale club.

Morgan Stanley analysts wrote in a note this week that Costco warehouses are seeing as much as low double-digit increases in membership counts after implementing the scanners, and suggested the high conversion rates of previously non-paying customers could lead to the retailer’s “Netflix moment.”

The report, led by Simeon Gutman, acknowledged that Costco and Netflix have two very different business models, but suggested the warehouse club’s new tool for checking memberships could lead to the kind of growth in paying customers that the streaming giant saw after it cracked down on password sharing.

Since limiting password-sharing last year, Netflix has seen a significant surge in new accounts.

In the first quarter of 2024 alone, the streaming company added 9.3 million sign-ups – a five-fold increase compared to the same quarter in 2023.

“Our base scenario suggests Costco could capture an additional 4 million members through conversion of nonfee paying customers in North America,” the Morgan Stanley analysts wrote.

Morgan Stanley analysts wrote in a note this week that Costco warehouses are seeing as much as low double-digit increases in membership counts after implementing the scanners Getty Images

During Costco’s fourth quarter earnings call last month, CEO Ron Vachris noted that the company has used card readers at the front of its stores in Europe for more than two years now and has been piloting the system in the US for roughly six months.

He pointed to several ways the scanners help Costco improve operational efficiency at stores.

“It gives our operators real-time traffic counts throughout the day. So, we’re able to adjust front-end lines that we need to open and close lines based on the fluctuations of business,” Vachris explained.

Since limiting password-sharing last year, Netflix has seen a significant surge in new accounts. Koray – stock.adobe.com

“We can monitor our fresh foods a little better because we know what the traffic counts look like and so forth,” he said, “and it has also taken the friction of membership verification away from the front-end registers and moved that to the front door, where we’re able to look at people’s membership status.”

The Costco chief added that the scanners also allow customers to be notified if their membership renewals are due before they reach the front end of the store, “and the membership card scanners installed at the front doors have delivered on the goal of speeding up the checkout process.

“This has been very well received by our members.”",437,"card, costco, moment, membership, netflix, counts, stanley, membershipboosting, paying, scanners, customers, quarter"
4,tesla musk car said wheel idea company steering pedals robotaxi,"The idea of a $25,000 Tesla has persisted for years — in part, perhaps, because CEO Elon Musk said he was “very confident” the company could do it at an event in 2020.

But on Wednesday night, during Tesla’s third-quarter earnings call, Musk said the idea of a $25,000 car with a steering wheel and pedals is “pointless,” and “silly.” He said he only wants to sell one car at that price: the “Cybercab” robotaxi he revealed a prototype of two weeks ago.

It was the latest in a long line of public and private flip-flopping from Musk, a process that has so muddied the waters about Tesla’s future product portfolio that some of his company’s most ardent supporters have confidently and wrongly proclaimed that the idea of a drivable $25,000 Tesla — with a steering wheel and pedals — never existed.

But it did. Here’s how we got here.

Battery Day

Musk surfaced the idea of a $25,000 Tesla in 2020 at the company’s so-called “Battery Day” event. It was a showcase of the new in-house battery cells Tesla was working on, which were larger and more energy dense. Those advancements were supposed to help drive down the cost of the most expensive piece of any EV, the battery pack. And they would enable Tesla to sell a car for $25,000, Musk said.

“I think probably three years from now we’re confident we can make a very compelling $25,000 electric vehicle, that’s also fully autonomous,” he said.

You could take that one of two ways. Either he meant the car would be a robotaxi like the Cybercab, with no steering wheel or pedals. Or he was talking about a car with a wheel and pedals that, like he has promised about all other Teslas, would one day receive a software update that made it autonomous. For what it’s worth, Musk reportedly was unsure about whether it would or wouldn’t be manually drivable in a September 2021 meeting.

But it’s not worth spending time arguing what exactly Musk meant. Because his own biographer found out.

Two cars

Musk announced in January 2022 that Tesla was “not currently working on the $25,000 car,” saying at the time that Tesla still planned to do it, but that the company had too much on its plate. He also said that making Tesla’s cars autonomous was more important than designing a car for that price point.

Musk’s biographer, Walter Isaacson, found out what happened next. In his biography, Isaacson describes that Musk and his top lieutenants spent months hashing out whether to pursue the robotaxi idea, or a more traditional car.

Isaacson describes Tesla’s chief designer Franz von Holzhausen trying to convince Musk in an August 2022 meeting that making a car with no steering wheel or pedals was risky if the company couldn’t get its Full Self-Driving software ready in time.

“He suggested that they make a car that had a steering wheel and pedals that could be easily removed,” Isaacson wrote of von Holzhausen’s pitch. Here’s what followed:

“No,” Musk said. “No. NO.” There was a long pause. “No mirrors, no pedals, no steering wheel. This is me taking responsibility for this decision.”



The executives sitting around the table hesitated. “Uh, we will come back to you on that,” one said.



Musk got into one of his very cold moods. “Let me be clear,” he said slowly. “This vehicle must be designed as a clean Robotaxi. We’re going to take that risk. It’s my fault if it f—s up. But we are not going to design some sort of amphibian frog that’s a halfway car. We are all in on autonomy.”



But von Holzhausen and Tesla engineering VP Lars Moravy did not drop the idea of a manually drivable car — if only because they saw it as a hedge to the risk that Tesla would either be slow to get the software right, or that it would run into regulatory red tape.

So they kept working on the more traditional design in secret.

In September 2022, according to Isaacson, von Holzhausen and Moravy convinced Musk that the right approach was to develop both vehicles. Musk was initially not thrilled, as Isaacson tells it. But by February 2023, when von Holzhausen showed Musk models of “the Robotaxi and the $25,000 car next to each other in the studio,” Musk “loved the designs.”

“The new mass-market vehicle, both with a steering wheel and as a Robotaxi, became known as ‘the next generation platform,’” Isaacson wrote.

The report

The idea that Tesla was building two different vehicles on this next-generation platform held for about a year, until Reuters published a bombshell story in April 2024: Tesla had scrapped plans to build a manually operable $25,000 car in favor of just pursuing the robotaxi.

It appeared Musk had flipped again. In response, he claimed — without offering proof — that Reuters was “lying.” But a few weeks later when Tesla released its quarterly results, the company tacitly admitted the report was right.

Tesla confirmed in that quarter’s shareholder letter that it was still pursuing a robotaxi design. But it also said it was working on “new vehicles, including more affordable models” that would “utilize aspects of the next generation platform as well as aspects of our current platforms, and will be able to be produced on the same manufacturing lines as our current vehicle line-up.” This is a very different plan from the $25,000 car that Musk approved in February 2023, according to Isaacson.

To this day, the company has not explained what these new models will look like. Some have speculated that Tesla is developing even-more-pared-down versions of the Model 3 and Model Y. What seems clear from subsequent earnings releases is that Tesla is accomplishing those further cost reductions by using ideas from the next-generation platform — ideas that were meant for the $25,000 car that was going to be built on that platform — and building them on existing production lines.

How low is Tesla trying to go with those cost reductions? The company hasn’t said, and it no longer has a public relations department. The Model 3 currently starts at around $42,000. Musk now says a $25,000 car is “silly” and “pointless.” Maybe finally delivering a car at the long-promised $35,000 price tag that the Model 3 was supposed to sell at is a more serious idea.

Whatever the answer winds up being, just remember this the next time anyone questions it: Tesla really was at one point working on a $25,000 car with a steering wheel and pedals.",1098,"idea, teslas, isaacson, 25000, wheel, flipflop, car, pedals, explained, ev, robotaxi, steering, tesla, musk"
5,amazon bp prime members advertisement gas savings mcdonald facing first,"Amazon (AMZN+0.83% ) subscribers pony up for Prime in exchange for free two-day shipping, discounts on services such as Grubhub, and access to films and TV shows on Prime Video. Now they can add gas savings to that list.

McDonald’s is facing its first lawsuit from the Quarter Pounder E. coli outbreak CC Share Subtitles Off

English view video McDonald’s is facing its first lawsuit from the Quarter Pounder E. coli outbreak

McDonald’s is facing its first lawsuit from the Quarter Pounder E. coli outbreak CC Share Subtitles Off

English McDonald’s is facing its first lawsuit from the Quarter Pounder E. coli outbreak

Amazon announced Wednesday that Prime members can now now save $0.10 per gallon at approximately 7,000 BP-affiliated (BP+0.69% ) gas stations across the country, including Amoco and Ampm.

Advertisement

For the average U.S. driver, this could translate to nearly $70 in annual savings, according to Amazon. Amazon Prime memberships start at $14.99 a month or $139 a year.

Advertisement

“We’re always asking ourselves how Prime can save members more money, and fuel savings is our latest offer that puts money back into members’ wallets,” the e-commerce giant said in a blog post announcing the perk.

Advertisement

Amazon added that it plans to expand these transportation-related savings to EV drivers in 2025, with an EV charging savings offer at BP pulse, which is BP’s electric vehicle charging business.

How does it work?

To unlock $0.10 off per gallon, Prime members will need an account with Earnify, a gas loyalty program from BP. Subscribers then must visit a page set up by Amazon to activate the offer and link their Amazon account with Earnify.

Advertisement

Members can use the Earnify app’s store locator to find nearby BP, Amoco, or Ampm gas stations. To redeem the offer, members must enter their phone number or linked payment method at the pump. Or, they can use the Earnify app to select the station and pump.

Behind the deal

BP and Amazon started working together publicly at the end of 2019. At the time, BP said it would supply renewable energy to Amazon Web Services (AWS) data centers in Europe, while Amazon said BP would migrate data to AWS. In each announcement, the companies cited BP’s environmental efforts.

Advertisement

Yet, Reuters reported earlier this month that BP has cast aside its pledge to lower its oil and gas output by 2030.

Other tech and energy giants have recently scaled back some of their own environmental promises, including ExxonMobil, Shell, and Google.

Advertisement

Harri Weber contributed to this report.

Read more",427,"amazon, savings, pounder, prime, lawsuit, gas, bp, members, offer, comes, works, quarter, discount, heres"
6,boeing spirit furloughs machinists strike said weighing spokesman week wednesday,"Spirit AeroSystems is weighing furloughs or layoffs of hundreds more employees if the Boeing machinists' strike stretches beyond Nov. 25, a company spokesman told CNBC on Thursday.

Boeing's machinists, whose strike is about to enter its sixth week, voted 64% against a newly proposed labor contract on Wednesday, extending the work stoppage that has halted production of most of Boeing's aircraft, which is centered in the Seattle area.

Spirit, which makes fuselages for Boeing's best-selling 737 Max as well as other major parts, had already been preparing to temporarily furlough about 700 workers in its Wichita, Kansas, facilities. Those 21-day furloughs could begin next week.

Further reductions would be in addition to those furloughs, but no decision has been made, said Spirit spokesman Joe Buccino.

Spirit's consideration of additional furloughs demonstrates how the lengthy strike is weighing on an already-fragile aerospace supply chain. Boeing suppliers have largely hesitated to cut staff in part because they had spent years rebuilding their workforces in the wake of the Covid-19 pandemic. Airbus is also facing similar supply chain pressure.

More than 32,000 Boeing machinists in the Puget Sound area, Oregon and other locations walked off the job on Sept. 13 after turning down an earlier tentative agreement.

Boeing is in the process of acquiring Spirit, a deal it expects to close next year. Spirit has been burning through cash and, on Wednesday, reported a third-quarter net loss of $477 million, more than double a year earlier.

Boeing's new CEO Kelly Ortberg has said getting a deal with its Seattle-area machinists and ending the strike is a top priority, and the workers' union has said it is eager to get back to the negotiating table.",281,"furloughs, deal, weighing, supply, strike, layoffs, hundreds, spokesman, workers, boeing, machinists, weighs, goes, aerosystems, nov, spirit"
7,mcdonald said quarter onions lawsuit coli food outbreak colorado filed,"New York CNN —

A Colorado man has filed the first lawsuit against McDonald’s relating to its E. coli outbreak linked to Quarter Pounders that, so far, has led to at least 49 illnesses across 10 states, including one death.

The lawsuit was filed one day after the US Centers for Disease Control and Prevention issued a food safety alert warning that dozens of people reported eating the Quarter Pounder sandwich at McDonald’s before becoming sick.

Eric Stelly purchased food from a McDonald’s location in Greeley, Colorado three weeks ago and began experiencing several gastrointestinal symptoms including nausea, cramps and bloody stools, which his lawyer notes is the most “common symptom” of E. coli, according to a press release from Ron Simon, the lawyer for the plaintiff.

After a few days later of continuing pain, he went to the emergency room of a local hospital and tested positive for E. coli. Stelly is still recovering from the sickness, the release says.

The lawsuit, a copy of which was posted online by Bloomberg Law, accuses McDonald’s of product liability, negligence and breach of implied warranties. It was filed Wednesday in a Cook County, Illinois court, where Chicago-based McDonald’s is headquartered.

A specific ingredient has not been confirmed as the source of the outbreak, but the US Food and Drug Administration says that the slivered onions or beef patties on Quarter Pounder sandwiches are the likely source of contamination.

McDonald’s didn’t immediately respond to CNN’s request for comment about the lawsuit.

On Wednesday, McDonald’s USA President Joe Erlinger said on NBC’s “Today” that it’s safe to eat at McDonald’s and that affected ingredients are probably out of the supply chain at restaurants.

“We are very confident that you can go to McDonald’s and enjoy our classics” without getting sick, he said.

“If there has been contaminated product within our supply chain, it’s very likely worked itself through that supply chain already,” but he acknowledged that the number of illnesses reported may rise as the CDC investigates and traces cases.

“Serving customers safely in every single restaurant, each and every day, is our top priority,” McDonald’s said in a statement Tuesday.

Simon, which describes his office as a national food safety law firm, is also representing at least 10 other “victims in the outbreak” in addition to Stelly, according to the release.

“The McDonald’s E. coli Outbreak will be one of the most significant food poisoning outbreaks this year,” Simon said in a press release. “Through this lawsuit and others, we will make sure that all of the victims are fully compensated for their losses, that their voices are heard, and that McDonald’s and its suppliers permanently fix the health violations that caused the food to become contaminated with E. coli.”

Also on Thursday, a second lawsuit was filed by the same lawyer on behalf of Clarissa DeBock, a Nebraska resident who ate at a McDonald’s in September and later was diagnosed with E. coli, according to a complaint by the law firm. She’s still recovering from her symptoms, the complaint said.

Quarter Pounder problems

McDonald’s has taken Quarter Pounders off the menu in about a fifth of its stores. The company has stopped using the onions as well as quarter-pound beef patties in several states, including Colorado, Kansas, Utah and Wyoming, as well as portions of Idaho, Iowa, Missouri, Montana, Nebraska, Nevada, New Mexico and Oklahoma. The investigation continues, the CDC said.

The beef patties are used only for the Quarter Pounders, and the slivered onions are used primarily for the Quarter Pounder and not other items, according to the CDC. Diced onions and other types of beef patties used at McDonald’s have not been implicated in this outbreak, the FDA said.

McDonald’s supplier Taylor Farms Colorado says it is working closely with the FDA and CDC. It says it has removed yellow onions from the market “out of an abundance of caution,” the company said Wednesday.

A Taylor Farms spokesperson said it has found no traces of E. coli in tests of raw or finished onions. “We have never seen E. coliO157:H7 associated with onions in the past,” the statement said.",690,"pounder, filed, food, outbreak, onions, patties, lawsuit, mcdonalds, coli, quarter"
8,quarter market morning brief moving billion investors servicenow third open,"On today's episode of Morning Brief, Hosts Madison Mills and Seana Smith analyze the market open and break down some of the biggest stories of the trading day.

The Nasdaq Composite (^IXIC) led stock gains Thursday morning, moving as high as 0.6% at the market open. The Dow Jones Industrial Average (^DJI) dipped by nearly 0.3% at the start of the trading day.

Tesla (TSLA) added about $80 billion to its market cap after beating earnings-per-share estimates and announcing it expects to roll out autonomous ride-hailing in California and Texas in 2025. Wedbush Securities Managing Director & Senior Equity Analyst Dan Ives tells Morning Brief that margins were crucial this quarter: ""That's been a huge part of the overhang on this story. They beat by 200 bps (basis points). Price cuts in the rearview mirror. And when you combine that with that growth forecast, I think whisper numbers called 10, 11%. They gave 20 and 30%. It's an Aaron Judge-like quarter,"" Ives states.

As investors now await the rest of the ""Magnificent Seven"" earnings, Ayako Yoshioka, Wealth Enhancement Group senior portfolio manager, explains that there is a greater emphasis on the tech sector given its concentration in the S&P 500 (^GSPC). However, she notes that CapEx (capital expenditures) spending among hyperscalers will determine their leadership position moving forward. She tells Yahoo Finance, ""I think they're going to evaluate it at some point and see whether or not they need to continue at the pace that they've been at over the last few quarters.""

ServiceNow (NOW) delivered robust third quarter earnings, exceeding expectations on both revenue and profit. Additionally, the cloud-computing platform raised its subscription revenue guidance. ServiceNow CFO Gina Mastantuono attributes ServiceNow's third quarter success to the company's achievements in generative AI, particularly its Now Assist feature. She calls it ""the fastest growing new product in company history,"" and notes that the technology is ""resonating"" with businesses.

Union workers rejected Boeing's (BA) latest labor contract proposal, prolonging the International Association of Machinists and Aerospace Workers' (IMA) strike that began in September. The aircraft manufacturer also reported third quarter results on Wednesday, revealing a $6 billion net loss for the quarter, which includes a $2 billion loss in its aerospace and defense programs.

The 10-year Treasury yield (^TYX, ^TNX, ^FVX) is pushing back above 4.2% as investors digest what recent Federal Reserve commentary means for interest rates. Truist Co-Chief Investment Officer & Chief Market Strategist Keith Lerner explains, ""What I'm encouraged by somewhat here is that when I look beneath the surface, and I look at what's called credit spreads, so are we seeing something systemic? We're seeing credit spreads near the lows."" He continues, ""So that's telling me that the yields are moving higher because investors are feeling more comfortable with economic growth. And at the same time, that's paring back on how aggressive the Fed will be.""

Story continues

To watch more expert insights and analysis on the latest market action, check out more Morning Brief here.

This post was written by Melanie Riehl",505,"morning, market, strike, thats, servicenow, boeing, billion, workers, quarter, brief, investors, earnings, trading, tesla, report, moving"
9,film juror 2 warner studio eastwood release one theatrical million,"AFI Fest, the longest-running film festival in Los Angeles, will cap off its 38th edition Sunday evening with the world premiere of Clint Eastwood‘s “Juror #2” at the historic TCL Chinese Theatre in Hollywood. Stars Nicholas Hoult, Toni Collette and Zoey Deutch will walk the red carpet, which marks the festival’s fourth world premiere of an Eastwood-directed feature. The courtroom drama is the filmmaker’s 40th directorial effort — and, given he’s 94 years old, it’s potentially his final one.

Four days later, Warner Bros. will give “Juror #2” a somewhat less distinguished treatment. The studio is putting out the feature in a limited release of less than 50 theaters, according to two sources with knowledge of the film’s distribution, with no current plans to expand to more locations in the following weeks.

While exact location counts are still being finalized, as it stands one week from opening day, “Juror #2” is currently listing showtimes at four locations around New York City, five in the Los Angeles area and one in Chicago. Across the country’s 25 most populous cities, the film is listing pre-sales in fewer than 25 locations. The film’s official website only promotes showtimes in 18 markets. Cineplex, Canada’s leading exhibitor chain, is opening the film in just one theater in Toronto and 160 nationwide venues. While many indies never expand beyond a handful of theaters, it’s less common for releases from major Hollywood studios like Warner Bros. As things currently stand, “Juror #2” will appear in far fewer auditoriums than other awards season releases like “Anora” and “The Brutalist,” which were made on leaner budgets, but will eventually unspool across thousands of screens.

Popular on Variety

“‘Juror #2’ is releasing in the U.S., U.K., France, Spain, Italy and Germany with the full support of Warner Bros.,” said a spokesperson for the studio. “The film will have its worldwide debut at the AFI Film Festival this weekend.”

Sources tell Variety that Warner Bros. is considering not reporting box office grosses for the film — an atypical practice for a traditional Hollywood studio, though not an unprecedented one. Earlier this year, Disney placed Daisy Ridley’s biographical sports drama “Young Woman and the Sea” in an undisclosed number of theaters and elected against releasing grosses. Two weeks later, the film debuted on Disney+. The decision seemed bizarre to the few who noticed: a half-measure roll-out for a film that was originally commissioned as an exclusive streaming release, but shifted to a theatrical run after testing highly. Some noted that the release meant that “Young Woman and the Sea” had fulfilled the Academy qualifications to be considered for Oscar nominations, but that seems incidental given the film hasn’t received the promotional push required for a serious awards contender.

Similarly, “Juror #2” was originally conceived as a streaming release, as first reported by Puck and confirmed by a source. The studio shifted to theatrical after screening the film, which was produced on a budget in the mid-$30 million range. While next week’s limited release will serve as an awards-qualifying run, sources tell Variety that the film is not being perceived as a major Oscar player internally at Warner Bros. Notably, “Juror #2” isn’t featured on the company’s FYC 2024 webpage. It’s not entirely unexpected, given Eastwood hasn’t proven to be an awards player since “American Sniper” landed six Academy Award nominations in 2015. Only two nods have followed since: sound editing for “Sully” in 2017, and Kathy Bates in supporting actress for “Richard Jewell” in 2020.

Yet the hush-hush rollout for “Juror #2” remains a peculiar approach for a filmmaker who still has commercial appeal. “American Sniper” was the highest-grossing domestic release of 2014. Two of Eastwood’s follow-ups, “Sully” and “The Mule,” both earned more than $100 million in North America. But in the contemporary theatrical landscape, badly rattled by the COVID pandemic, original adult-skewing dramas are perceived by studios to be much riskier theatrical prospects than they were even five years ago.

Warner Bros., the studio that Eastwood has partnered with for more than 50 years, seemed to be reevaluating its relationship with the filmmaker following the 2021 release of his most recent feature, “Cry Macho.” That Western drama, which saw a nonagenarian Eastwood directing himself as a former rodeo star finding redemption south of the border, was a box office flop, grossing $16.5 million globally against a production budget of $33 million. The film faced uphill challenges, launching in a theatrical landscape still in its first months of recovery from pandemic lockdowns. It also received a simultaneous streaming debut with a day-and-date launch on Max (then titled HBO Max), as with the rest of Warner Bros.’ theatrical slate that year.

The underperformance of the tepidly-reviewed “Cry Macho” allegedly emerged as a point of contention at the studio, amid shifting strategy in the wake of WarnerMedia’s merger with Discovery, Inc. In May 2022, the Wall Street Journal reported that then-newly-minted CEO David Zaslav questioned why “Cry Macho” was made after film leadership conceded that they had doubts the movie could turn a profit. “It’s not show friends, it’s show business,” the exec was quoted.

Nonetheless, Eastwood was back in Warner Bros.’ good graces by April 2023, when the studio greenlit “Juror #2” under the leadership of Michael De Luca and Pamela Abdy, who were tapped to lead the WB film division in the summer prior. But now, the studio seems to have little confidence in the film’s commercial prospects. One source close to Warner Bros. says that the decision to put “Juror #2” in theaters at all represents a gesture of gratitude toward Eastwood, who has earned the company billions in box office grosses, as well as numerous awards, for films like “Unforgiven” and “Million Dollar Baby.” But does a limited rollout in a handful of venues truly qualify as an appropriate distribution plan for an industry icon who has remained loyal to a studio for decades?

In the current landscape, that’s apparently as good as it gets.",996,"bros, theatrical, film, theaters, eastwoods, million, studio, eastwood, burying, juror, warner, release, clint"
10,brady olsen bunch revival actor like going cindy podcast cbs,"Cindy Brady actor Susan Olsen recently claimed on the “Walk Away Campaign” podcast (via Vanity Fair) that CBS killed a revival of “The Brady Bunch” due to her support of Donald Trump and her controversial stances on hot button issues like Covid vaccines and the LGBTQ+ community — but that’s not the whole story, insiders note. For one thing, the show was set up at CBS Studios and hadn’t even been pitched to networks or streamers yet. More importantly, sources note that it was scrapped due to hate speech by Olsen, including homophobic slurs that had previously gotten her fired from a radio gig.

The updated Brady project was considered two years ago, but it’s unclear whether even a script had been written. The project never got past those early stages when Olsen’s behavior stopped it from moving forward. The series would have picked up with the Brady Bunch children as adults. Olsen’s Cindy, the youngest Brady sibling, was going to be a libertarian podcaster, the actor revealed.

Popular on Variety

“I did have a phone call with my [TV] siblings and my agent,” Olsen said on the podcast. “Everybody was saying, ‘We’re sorry, but they just won’t budge. They just will not have you in this.’ I was like, ‘Wow, I’ve been canceled.’ A role that I’ve played for over 50 years, I can’t play it now because I’m too dangerous. I was like ‘Well, okay guys, good luck, I hope you can sell it.’”

CBS Studios declined comment. According to Olsen, she was in talks for a “Brady Bunch” revival for about a year. She was allegedly questioned during the show’s early development about her politics by the revival’s showrunner and the son of Sherwood Schwartz, who created the original “Brady Bunch.” The actor was previously fired from the “Two Chicks Talkin’ Politics” radio show in 2016 after she shared anti-LGBTQ views on social media; she reportedly later responded to a guest (who had criticized her on social media) by sending him a text message filled with slurs and hate speech.

Olsen starred as Cindy Brady for the entire run of “The Brady Bunch,” which aired from 1969 to 1974. She also appeared in the animated spinoff “The Brady Kids,” as well as 1976’s “The Brady Bunch Variety Hour,” the 1981 TV movie “The Brady Girls Get Married” and 1990’s “The Bradys.”

Per Vanity Fair’s recap of Olsen’s interview: “According to Olsen, the revival was going to thrust the Brady Bunch family into the modern era. One of Jan’s children was going to be trans, and one of the Bradys was going to have a Black spouse. This, perhaps unsurprisingly, did not sit right with Olsen. ‘To that I was like, come on, let’s not be so obvious. Let’s make this Black spouse somebody who has a really close relationship with another Brady, and that’s how this Brady met them. Give them a foundation so this isn’t a token position.'”

Olsen went on to say the “Brady Bunch” revival series is “dead in the water” now. Listen to the actor’s full interview on the “Walk Away Campaign” podcast here.",521,"going, podcast, olsens, olsen, actor, brady, walk, views, killed, speech, hate, dangerous, cindy, political, studios, bunch, revival"
