Input_Text,Accepted_Completion,Rejected_Completion
"Who was the CEO of Starbucks as of October 31, 2024?",Brian Niccol.,Howard Schultz.
By how much did Starbucks' revenue fall for three straight quarters as reported in October 2024?,Starbucks reported declining sales for three straight quarters.,Starbucks reported increasing sales for three straight quarters.
What is the percentage of Starbucks' U.S. transactions that are mobile orders according to the 2024 conference call?,More than 30%.,Less than 15%.
By when does Starbucks plan to drop the extra charge for milk substitutes?,"Starting November 7, 2024.","Starting January 1, 2025."
Which specific design element did Brian Niccol mention bringing back to Starbucks cafes for a more personal touch?,Ceramic mugs.,Plastic utensils.
Which day of the week did Starbucks report their earnings in October 2024?,Wednesday.,Friday.
Who is the Starbucks CFO that discussed the strategy for fiscal 2025?,Rachel Ruggeri.,Kevin Johnson.
What did CEO Brian Niccol identify as a necessary improvement in the mobile order process?,Improving the app's timing accuracy.,Reducing the number of app updates.
"As of October 2024, what percentage of Starbucks' U.S. transactions meet the four-minute service goal?",About 50%.,Over 75%.
Who is the former Chipotle alum appointed as the new chief global brand officer of Starbucks?,Tressie Lieberman.,James Quincey.
"In which part of the world is Plaza de Francesc Macia located, mentioned in connection with Starbucks?","Barcelona, Spain.","Paris, France."
What graphic element is Starbucks reintroducing to enhance the personalization of orders?,Sharpies for writing on cups.,Printed holographic stickers.
Who has Peloton appointed as its next CEO and president as of October 2024?,Peter Stern.,Barry McCarthy.
From which company is Peter Stern transitioning to Peloton in January 2025?,Ford.,General Motors.
What role did Peter Stern hold at Ford before his appointment as CEO of Peloton?,President of Ford Integrated Services.,Chief Financial Officer of Ford.
What subscription service was Peter Stern responsible for overseeing at Ford?,BlueCruise.,OnStar.
"In October 2024, how much did Peloton shares increase following the CEO announcement?",About 28%.,About 15%.
Who is the interim co-CEO of Peloton staying on through the end of the year in 2024?,Karen Boone.,Chris Bruzzo.
What was Peter Stern's involvement with Apple before joining Peloton?,Co-founder of Apple Fitness+.,Co-founder of Apple Pay.
How many CEOs has Peloton had in its history as of October 2024?,Three.,Four.
Which former executive of Spotify and Netflix did Barry McCarthy replace as Peloton's CEO about two years prior to 2024?,John Foley.,Daniel Ek.
Which notable achievement was Peter Stern credited with while working at Ford?,Leading the digital product team.,Leading the electric vehicle division.
How long did Barry McCarthy serve as CEO of Peloton before announcing his departure in 2024?,About two years.,About three years.
Who is the chairperson of Peloton’s board who commented on Peter Stern’s appointment?,Jay Hoag.,Tim Cook.
When did Peloton previously announce Barry McCarthy would be stepping down?,About six months prior to October 2024.,About six weeks prior to October 2024.
What is the name of the platform offering legal election betting in the US as of 2024?,Kalshi.,PredictIt.
In which year did Kalshi's founders first apply for approval for presidential election betting?,2021.,2018.
Which regulatory body initially denied Kalshi the ability to offer presidential election betting?,Commodity Futures Trading Commission (CFTC).,Securities and Exchange Commission (SEC).
"As of October 2024, who were the founders of Kalshi?",Tarek Mansour and Luana Lopes Lara.,Henry Kravis and Charles Schwab.
How much money was put down on Kalshi's election bet in the weeks leading up to October 2024?,Over $100 million.,Over $50 million.
What type of marketplace does Kalshi run its platform as?,A futures exchange.,A stock exchange.
In which US city is Kalshi's headquarters located?,New York City.,San Francisco.
Where did Kalshi founders Tarek Mansour and Luana Lopes Lara meet?,MIT.,Columbia University.
What year did Tarek Mansour first think about the importance of a betting market for elections?,2016.,2020.
What is an example of a topic Kalshi allowed betting on before gaining election betting approval?,Inflation numbers.,Weather patterns.
Which capital firm is noted as being an investor in Kalshi?,Sequoia Capital.,Andreessen Horowitz.
How long did Kalshi's legal battle for election betting approval take?,Three years.,Five years.
"In addition to being its co-founder, what is Luana Lopes Laura's nationality?",Brazilian.,Portuguese.
"How many employees, plus one dog, work at Kalshi's Soho headquarters?",Nearly 45 employees.,Nearly 60 employees.
"How many workers were involved in the strike at Textron, a parts maker in Kansas?","5,000 workers were involved in the strike at Textron.","3,500 workers were involved in the strike at Textron."
"What percentage chance did traders give for a 25 basis point rate cut by the Fed, as of Wednesday?",Traders gave a 94.6% probability of a 25 basis point cut.,Traders gave a 88.2% probability of a 25 basis point cut.
"On September 30, what was the expected probability of a 25 basis-point Fed rate cut?",The probability was 65.3% for a 25 basis-point cut.,The probability was 78.5% for a 25 basis-point cut.
On which day did the three major U.S. stock indexes close lower due to concerns about AI costs from Microsoft and Meta?,They closed lower on Thursday.,They closed lower on Friday.
By what percentage did Meta Platforms shares fall after announcing growing AI costs?,Meta Platforms shares fell 4.1%.,Meta Platforms shares fell 3.5%.
By what percentage did Microsoft shares fall after their earnings announcement?,Microsoft shares fell 6%.,Microsoft shares fell 5%.
What percentage year-over-year increase was recorded for the core Personal Consumption Expenditures price index?,It rose by 2.7% year-over-year.,It rose by 3.1% year-over-year.
"According to Carol Schleif, which financial metric did all three companies cite as having open-ended budgets?",All three companies cited AI spend as having open-ended budgets.,All three companies cited marketing spend as having open-ended budgets.
Which company is acquiring Altair Engineering for $10.6 billion?,Siemens is acquiring Altair Engineering for $10.6 billion.,IBM is acquiring Altair Engineering for $10.6 billion.
What percentage premium did Siemens pay for Altair relative to its closing on October 21?,Siemens paid an 18.7% premium for Altair.,Siemens paid a 25% premium for Altair.
What is Altair Engineering's primary industry focus?,Altair Engineering is focused on the product lifecycle management (PLM) industry.,Altair Engineering is focused on the financial technology industry.
How much is Siemens selling its airport baggage and cargo handling business for?,Siemens is selling it for 300 million euros.,Siemens is selling it for 250 million euros.
"Besides Siemens, which company holds a 14% share in the PLM simulation software market?",MathWorks holds a 14% market share.,Dassault Systemes holds a 14% market share.
Which company is mentioned as privately-held and a competitor to Siemens in the PLM market?,MathWorks is mentioned as privately-held.,Dassault Systemes is mentioned as privately-held.
Which analyst is cited as saying the Altair acquisition will make Siemens a more credible rival to Synopsys?,Jefferies analyst Simon Toennessen said it.,Goldman Sachs analyst John Smith said it.
"Which major Japanese company owns Vanderlande, the buyer of Siemens' airport handling business?",Toyota Industries Corporation owns Vanderlande.,Honda Motor Company owns Vanderlande.
"As a result of the Altair acquisition, Siemens will move up to what rank in the PLM simulation software market?",Siemens will move up to rank number 2.,Siemens will move up to rank number 3.
"As of October 31, 2024, who is the governor of the Bank of Japan?",Kazuo Ueda.,Haruhiko Kuroda.
"On October 31, 2024, what was the Bank of Japan's benchmark policy rate?",0.25%.,0.5%.
"On October 31, 2024, for the first time since which month did China's manufacturing PMI enter expansion territory?",April.,March.
"According to the National Bureau of Statistics, what was China's manufacturing PMI in October 2024?",50.1.,51.0.
"How did South Korea's Kospi perform on October 31, 2024?","The Kospi decreased by 1.45% to 2,556.15.","The Kospi increased by 1.45% to 2,556.15."
"By how much did Samsung's semiconductor unit's third-quarter operating profit change compared to the previous quarter, as of October 2024?",It decreased by 40%.,It increased by 20%.
"What closing level did the Topix reach on October 31, 2024?","2,695.51.","2,605.15."
"As of October 31, 2024, what was the percentage change in Australia's S&P/ASX 200 index?",It shed 0.25%.,It gained 0.5%.
"In October 2024, how much did Australia's S&P/ASX 200 index close at?","8,160.","7,900."
How much profit did Samsung's semiconductor unit earn in the third quarter of 2024?,3.86 trillion won.,5 trillion won.
"On October 31, 2024, at what value did China's CSI 300 close?","3,891.03.","4,000.50."
"On October 31, 2024, which Korea's index rose, despite the Kospi's decline?",The Kosdaq rose by 0.66%.,The Kospi rose by 0.66%.
"What marked the lowest point since September 11, reached by the Kospi on October 31, 2024?","2,556.15.","2,700.00."
"When was South Korea's smallest stock index, the Kosdaq, at 743.06?","October 31, 2024.","October 28, 2024."
"As of October 31, 2024, what is one key event investors focused on in addition to the BOJ rate decision?",China's manufacturing PMI figures.,Japan's retail sales data.
Who issued the information about China's manufacturing PMI in October 2024?,The National Bureau of Statistics.,The Ministry of Finance.
"In the second season of ""The Diplomat,"" who plays the character of Kate Wyler?",Keri Russell.,Allison Janney.
"Which character does Allison Janney portray in the second season of ""The Diplomat""?",Vice President Grace Penn.,U.K. Prime Minister Nicol Trowbridge.
"What position does Kate Wyler hold in ""The Diplomat""?",U.S. Ambassador to the United Kingdom.,CIA Station Chief.
"Who is portrayed by actor Rufus Sewell in ""The Diplomat""?","Hal Wyler, Kate's meddling husband.",Austin Dennison.
"What genre is the Netflix series ""The Diplomat""?",Political thriller.,Romantic comedy.
"What year was the second season of ""The Diplomat"" released on Netflix?",2024.,2023.
"Which character in ""The Diplomat"" is noted for having a backstory that involves being the unluckiest CIA station chief?",Eidra Park.,Kate Wyler.
"Who is the deputy to Kate Wyler mentioned in ""The Diplomat""?","Stuart, played by Ato Essandoh.","David, played by Rufus Sewell."
"What year does the article mention ""The Diplomat"" being streamed in relation to a U.S. election year?",2024.,2022.
"Which character is involved in a crisis when Kate Wyler takes her job in ""The Diplomat""?",U.K. Prime Minister Nicol Trowbridge.,Vice President Grace Penn.
"As of October 2024, what did Eric Trump say regarding Prince Harry's concern about his US visa situation?","Eric Trump said that no one in America ""gives a damn"" about Prince Harry's visa situation.",Eric Trump said that everyone in America is very concerned about Prince Harry's visa situation.
"In October 2024, what did Eric Trump say about Princess Catherine's conduct?","Eric Trump said Princess Catherine ""conducts herself so incredibly well.""","Eric Trump remarked that Princess Catherine ""conducts herself poorly."""
What was Eric Trump's perspective on Prince Harry's drug use?,"Eric Trump said, ""I don’t give a damn if he did drugs. It means nothing.""","Eric Trump indicated, ""I am deeply concerned about his drug use."""
"Who was reportedly praised by Eric Trump as being ""a rock in the family""?","Princess Catherine was praised by Eric Trump as ""a rock in the family.""","Meghan Markle was praised by Eric Trump as ""a rock in the family."""
"In October 2024, how old was Martha Stewart when she expressed discontent over her Netflix documentary?",83 years old.,78 years old.
What specific scene did Martha Stewart detest in her Netflix documentary?,The scene of her walking hunched over in the garden.,The scene of her giving a speech at a cooking class.
"When was the documentary ""Martha"" released on Netflix?",Wednesday.,Friday.
What age milestone was emphasized by Martha Stewart regarding her time in prison?,It was less than two years out of her 83-year life.,It was over a significant part of her youth.
In what year did the Menendez brothers commit the murders of their parents?,The Menendez brothers committed the murders in 1989.,The Menendez brothers committed the murders in 1995.
How many years have Erik and Lyle Menendez spent in custody as of October 2024?,Erik and Lyle Menendez have spent 34 years in custody.,Erik and Lyle Menendez have spent 28 years in custody.
What is the current sentence of the Menendez brothers before any potential clemency or parole alterations?,The Menendez brothers are sentenced to life in prison without the possibility of parole.,The Menendez brothers are sentenced to 50 years in prison with parole.
"How many family members of Kitty and Jose Menendez, excluding Kitty's brother, support the commutation of the Menendez brothers' sentence?","All family members except one, Kitty Menendez's brother, support the commutation.",None of the family members support the commutation besides Kitty's brother.
